mar.28	0
abr.28	2
may.28	3.9
jun.28	1.9
jul.28	0
ago.28	0
sept.28	7.4
oct.28	-5.2
nov.28	0
dic.28	-1.8
ene.29	-3.7
feb.29	0
mar.29	0
abr.29	0
may.29	1.9
jun.29	3.8
jul.29	0
ago.29	1.8
sept.29	3.6
oct.29	-3.4
nov.29	1.8
dic.29	1.7
ene.30	-8.6
feb.30	-1.9
mar.30	0
abr.30	1.9
may.30	1.9
jun.30	1.8
jul.30	0
ago.30	0
sept.30	0
oct.30	1.8
nov.30	0
dic.30	-1.8
ene.31	-3.6
feb.31	-3.8
mar.31	2
abr.31	-1.9
may.31	3.9
jun.31	1.9
jul.31	1.8
ago.31	0
sept.31	0
oct.31	-1.8
nov.31	0
dic.31	1.8
ene.32	-10.9
feb.32	0
mar.32	4.1
abr.32	2
may.32	3.8
jun.32	1.8
jul.32	0
ago.32	5.5
sept.32	12.1
oct.32	1.5
nov.32	1.5
dic.32	1.5
ene.33	0
feb.33	0
mar.33	0
abr.33	1.5
may.33	2.9
jun.33	1.4
jul.33	0
ago.33	1.4
sept.33	1.4
oct.33	-1.4
nov.33	-2.7
dic.33	0
ene.34	-2.8
feb.34	-1.5
mar.34	1.5
abr.34	1.4
may.34	1.4
jun.34	0
jul.34	1.4
ago.34	-1.4
sept.34	2.8
oct.34	-2.7
nov.34	2.8
dic.34	1.4
ene.35	0
feb.35	-4.1
mar.35	0
abr.35	1.4
may.35	0
jun.35	0
jul.35	1.4
ago.35	-1.4
sept.35	1.4
oct.35	0
nov.35	0
dic.35	0
ene.36	0
feb.36	1.4
mar.36	1.3
abr.36	1.3
may.36	2.6
jun.36	1.3
jul.36	1.3
ago.36	0
sept.36	1.2
oct.36	2.5
nov.36	-1.2
dic.36	0
ene.37	0
feb.37	-2.4
mar.37	3.7
abr.37	3.6
may.37	2.3
jun.37	2.3
jul.37	1.1
ago.37	1.1
sept.37	1.1
oct.37	0
nov.37	0
dic.37	-3.2
ene.38	-1.1
feb.38	0
mar.38	1.1
abr.38	2.2
may.38	2.2
jun.38	0
jul.38	0
ago.38	-1.1
sept.38	1.1
oct.38	0
nov.38	0
dic.38	-2.1
ene.39	-2.2
feb.39	-2.2
mar.39	2.3
abr.39	3.3
may.39	1.1
jun.39	0
jul.39	-1.1
ago.39	0
sept.39	1.1
oct.39	3.2
nov.39	2.1
dic.39	0
ene.40	-3
feb.40	2.1
mar.40	1
abr.40	3
may.40	1
jun.40	3.9
jul.40	-0.9
ago.40	1.9
sept.40	4.6
oct.40	0.9
